ticker,date,weeknum,week_last_value,week_first_value,net_change
SCHW,2023-03-10,10,7871.988327463987,10272.475398360159,-2400.4870708961716
SCHW,2023-03-09,10,7871.988327463987,10272.475398360159,-2400.4870708961716
SCHW,2023-03-08,10,7871.988327463987,10272.475398360159,-2400.4870708961716
SCHW,2023-03-07,10,7871.988327463987,10272.475398360159,-2400.4870708961716
SCHW,2023-03-06,10,7871.988327463987,10272.475398360159,-2400.4870708961716
TSLA,2023-10-16,42,11331.394789450616,13572.657978854193,-2241.2631894035767
TSLA,2023-10-20,42,11331.394789450616,13572.657978854193,-2241.2631894035767
TSLA,2023-10-19,42,11331.394789450616,13572.657978854193,-2241.2631894035767
TSLA,2023-10-18,42,11331.394789450616,13572.657978854193,-2241.2631894035767
TSLA,2023-10-17,42,11331.394789450616,13572.657978854193,-2241.2631894035767
